"name","description","description_url","company","position","salary","location"
"見習營業員","利嘉閣見習營業員 **專營一二手屋苑 無需經驗** <<<不需做街頭銷售>>>","http://hk.justjob.com/full/hk/job/view/110450/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n利嘉閣地產有限公司","職位\n營銷 - 營銷傳播","薪金\n底薪$8000+<<豐厚佣金>>","工作地點\n元朗區 - 元朗站步行1分"
"NEW Business Development Executive/ Senior Business Development Executive","On-job training provided/ welcome University Graduates/ Career in Business Development","http://hk.justjob.com/full/hk/job/view/114087/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGenNex Financial Media Limited","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n中西區 - 中環"
"NEW Marketing Executive (Ref No: VCHK-JJ-ME-1015)","Marketing Executive (Ref No: VCHK-JJ-ME-1015)","http://hk.justjob.com/full/hk/job/view/114074/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n營銷 - 營銷傳播","薪金\nHKD 19,000.00 〜 21,000.00 / 月薪","工作地點\n灣仔區"
"NEW 市場推廣主任（基督徒）","天道書樓正在招募基督精兵，一起同心服侍人群","http://hk.justjob.com/full/hk/job/view/114071/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n天道書樓","職位\n營銷 - 營銷傳播","薪金\n面議","工作地點\n九龍 - 鑽石山站步行5分"
"NEW Marketing Executive (Ref No: VCHK-JJ-ME-0926)","Marketing Executive (Ref No: VCHK-JJ-ME-0926)","http://hk.justjob.com/full/hk/job/view/113948/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n營銷 - 營銷傳播","薪金\nHKD 19,000.00 〜 21,000.00 / 月薪","工作地點\n灣仔區"
"NEW Writer / Corporate Communications Officer (VCHK-JJ-CCO-1012)","Writer / Corporate Communications Officer (VCHK-JJ-CCO-1012)","http://hk.justjob.com/full/hk/job/view/114059/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n公關 - 文案寫作","薪金\nHKD 14,000.00 〜 17,000.00 / 月薪","工作地點\n灣仔區"
"護膚品銷售顧問 Beauty Advisor","在商場專櫃/店鋪銷售國際護膚品牌產品 執行品牌銷售及推廣策略，達致公司預期銷售目標 需輪班，可放星期六/日，每天8-9小時工作 工作地點：尖沙咀 / 銅鑼灣","http://hk.justjob.com/full/hk/job/view/114051/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nPer Face","職位\n營銷 - 一般 / 支持","薪金\nHKD 15,000.00 〜 25,000.00 / 月薪","工作地點\n油尖旺區 - 尖沙咀站步行3分"
"China Business Development Supervisor","China Business Development Supervisor","http://hk.justjob.com/full/hk/job/view/114042/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nBAO SING DA LIMITED","職位\n營銷 - 營銷傳播","薪金\nHKD 28,000.00 〜 35,000.00 / 月薪","工作地點\n沙田區 - 石門站步行5分"
"網絡銷售員","招聘人才","http://hk.justjob.com/full/hk/job/view/113999/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n美國上市公司","職位\n營銷 - 營銷傳播","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n觀塘區 - 九龍灣站步行10分"
"助 理 人 力 資 源 顧 問","需要精通粵語和國語","http://hk.justjob.com/full/hk/job/view/113998/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nAIA International Ltd","職位\n營銷 - 市場調研","薪金\n面議","工作地點\n灣仔區 - 銅鑼灣站步行5分"
"財 務 策 劃 顧 問 ( 招 募 熟 悉 香 港 和 中 國 大 陸 文 化 的 精 英 ）","每年有海外交流及旅行機會，擴闊員工在工作以外的視野","http://hk.justjob.com/full/hk/job/view/113995/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nAIA International Limited","職位\n營銷 - 營銷傳播","薪金\nHKD 15,000.00 〜 50,000.00 / 月薪","工作地點\n香港島"
"客戶服務員, 銷售主任","客戶服務員, 銷售主任(發展個人 國內強大客戶網)","http://hk.justjob.com/full/hk/job/view/113988/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nsuccess wealth management limited (實力雄厚 信心之選)","職位\n營銷 - 一般 / 支持","薪金\nHKD 12,000.00 〜 40,000.00 / 月薪","工作地點\n中西區 - 金鐘站步行1分"
"Writer / Corporate Communications Officer (VCHK-JJ-CCO-0808)","Writer / Corporate Communications Officer (VCHK-JJ-CCO-0808)","http://hk.justjob.com/full/hk/job/view/113511/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n公關 - 文案寫作","薪金\nHKD 11,000.00 〜 17,000.00 / 月薪","工作地點\n灣仔區"
"Writer / Corporate Communications Officer (VCHK-JJ-CCO-0926)","Writer / Corporate Communications Officer (VCHK-JJ-CCO-0926)","http://hk.justjob.com/full/hk/job/view/113912/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n公關 - 文案寫作","薪金\nHKD 13,000.00 〜 17,000.00 / 月薪","工作地點\n灣仔區"
"運營經理","大陸及海外市場開拓，較好的晉升空間，新興區塊鏈運作","http://hk.justjob.com/full/hk/job/view/113794/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n香港虞美人國際集團有限公司","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n九龍城區 - 九龍塘站步行5分"
"共享空間管理員","本公司誠聘共享空間管理人才, 需有3年以上相關工作經驗, 勤力, 刻苦, 有上進心","http://hk.justjob.com/full/hk/job/view/113864/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nGlory Sea Holdings Limited","職位\n管理","薪金\nHKD 12,000.00 〜 25,000.00 / 月薪","工作地點\n油尖旺區 - 佐敦"
"護膚品銷售顧問 Beauty Advisor","在商場專櫃/店鋪銷售國際護膚品牌產品 執行品牌銷售及推廣策略，達致公司預期銷售目標 需輪班，可放星期六/日，每天8-9小時工作 工作地點：尖沙咀 / 銅鑼灣","http://hk.justjob.com/full/hk/job/view/113842/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nPer Face","職位\n營銷 - 一般 / 支持","薪金\nHKD 15,000.00 〜 25,000.00 / 月薪","工作地點\n油尖旺區 - 尖沙咀站步行3分"
"Sales & Customer Services Staff","Hiring for Sales & Customer Services Staff, Takative Person, Willing to Meet with People","http://hk.justjob.com/full/hk/job/view/113740/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nFoundation Strong Renewable Energy Limited","職位\n營銷 - 直接營銷","薪金\nHKD 13,000.00 〜 15,000.00 / 月薪","工作地點\n元朗區 - 元朗站巴士15分"
"客戶服務員, 銷售主任","客戶服務員, 銷售主任","http://hk.justjob.com/full/hk/job/view/113744/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nsuccess wealth management limited (實力雄厚 信心之選)","職位\n營銷 - 一般 / 支持","薪金\nHKD 12,000.00 〜 40,000.00 / 月薪","工作地點\n中西區 - 金鐘站步行1分"
"Marketing Officer","招聘人才","http://hk.justjob.com/full/hk/job/view/113742/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n明力油壓機械工程","職位\n營銷 - 直接營銷","薪金\nHKD 14,000.00 〜 18,000.00 / 月薪","工作地點\n屯門區 - 屯門站步行5分"
"Marketing Executive / Business Development Executive / Graphic Designer / Marketing Intern","Marketing Executive / Business Development Executive / Graphic Designer / Marketing Intern","http://hk.justjob.com/full/hk/job/view/113739/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nTesseract Interactive Limited","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n觀塘區 - 觀塘站步行5分"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113720/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\nHKD 10,000.00 〜 50,000.00 / 月薪","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113719/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\nHKD 10,000.00 〜 50,000.00 / 月薪","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113688/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113665/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113666/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113664/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113651/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113648/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113647/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\nHKD 10,000.00 〜 30,000.00 / 月薪","工作地點\n其他"
"Associate Business Development Manager / Senior Business Development Executive","Associate Business Development Manager / Senior Business Development Executive","http://hk.justjob.com/full/hk/job/view/113643/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nPrice.com.hk Limited","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n觀塘區"
"新媒体运营专员","新媒体广告营销运营专员","http://hk.justjob.com/full/hk/job/view/109874/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nHonest Hui Tech LTD","職位\n營銷 - 營銷傳播","薪金\nHKD 12,000.00 〜 15,000.00 / 月薪","工作地點\n油尖旺區 - 尖東站步行5分"
"營業代表","譽高給您展現才華的舞台","http://hk.justjob.com/full/hk/job/view/113642/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEagle Development (Holdings) Company Limited","職位\n營銷 - 直接營銷","薪金\nHKD 8,000.00 〜 9,500.00 / 月薪","工作地點\n荃灣區 - 大窩口站步行10分"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113624/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113621/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113620/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"市場推廣助理","市場推廣助理","http://hk.justjob.com/full/hk/job/view/113611/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nUNISKY INTERNATIONAL (HK) LIMITED","職位\n管理","薪金\nHKD 23,000.00 以上 / 月薪","工作地點\n油尖旺區 - 旺角"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113607/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"市場推廣經理","市場推廣經理","http://hk.justjob.com/full/hk/job/view/113593/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nUNISKY INTERNATIONAL (HK) LIMITED","職位\n管理","薪金\nHKD 17,500.00 以上 / 月薪","工作地點\n油尖旺區 - 旺角"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113590/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113588/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113558/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
